product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_coprocessor,ai_enabled,audio_feature,color,cpu_model,gpu_model,image_url,os,ram,screen_refresh_rate_hz,screen_resolution,screen_size_inch,storage,touchscreen,webcam,weight_kg,product_url,cpu_clock,price,renewed
2-in-1 Laptop - Convertible,HP,OmniBook Flip,646596,11%,8499,7499.0,Intel AI Boost up to 48 TOPS,CoPilot+ PC,,Atmospheric Blue,Intel Core Ultra 9,Intel Arc Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/6/c/a/5/6ca580d5a83c3b02afefa38f4db7a0bb986ce8af_646596.jpg,Windows 11,32 GB RAM,2.8K OLED 400N Multi-touch Display,2880 X 1800,"14""",1 TB PCIe Gen4,Yes,9 MP with IR Function,1.35 kg ( 2.98 lb ),https://www.jarir.com/sa-en/hp-omnibook-ultra-flip-2-in-1-laptops-646596.html,3.3 GHz,7499.0,new
2-in-1 Laptop - Convertible,Lenovo,Yoga 7,653611,15%,5299,4499.0,AMD Ryzen AI up to 50 TOPS,AI Enabled,"Dolby Atmos, 2 X 4W Speakers",Tidal Teal,AMD Ryzen 7,AMD Radeon 860M,https://ak-asset.jarir.com/akeneo-prod/asset/5/f/2/1/5f2119c77e043eeae165e4671697d323a0de4f33_653611.jpg,Windows 11 Home,24 GB RAM,WUXGA OLED Multi-touch Display,1920 X 1200 (WUXGA),"14""",1 TB SSD,Yes,5 MP + IR with Camera Shutter,1.40 kg ( 3.09 lb ),https://www.jarir.com/sa-en/lenovo-yoga-7-2-in-1-laptops-653611.html,2.0 GHz,4499.0,new
2-in-1 Laptop - Convertible,Asus,ProArt PZ13,649026,16%,4999,4199.0,Qualcomm Hexagon NPU up to 45 TOPS,CoPilot+ PC,Built-in Speakers,Nano Black,Snapdragon X Plus,Qualcomm Adreno GPU,https://ak-asset.jarir.com/akeneo-prod/asset/b/b/f/7/bbf71edc7135d435664fb301911e686d41f86364_649026.jpg,Windows 11 Home,16 GB RAM,3K OLED Touch Display,2880 X 1800,"13.3""",1 TB SSD,Yes,Rear: 13 MP/Front: 5 MP,.85 kg ( 1.87 lb ),https://www.jarir.com/sa-en/asus-proart-pz13-2-in-1-laptops-649026.html,3.2 GHz,4199.0,new
2-in-1 Laptop - Convertible,Lenovo,Yoga 7,653612,13%,5799,4999.0,Intel AI Boost up to 47 TOPS,CoPilot+ PC,"Dolby Atmos, 2 X 4W Speakers",Luna Grey,Intel Core Ultra 7,Intel Arc Graphics 140V,https://ak-asset.jarir.com/akeneo-prod/asset/8/3/9/8/8398dc0307bad0da064710519a761927efd199e3_653612.jpg,Windows 11 Home,16 GB RAM,WUXGA OLED Multi-touch Display,1920 X 1200 (WUXGA),"14""",1 TB SSD,Yes,5 MP + IR with Camera Shutter,1.40 kg ( 3.09 lb ),https://www.jarir.com/sa-en/lenovo-yoga-7-2-in-1-laptops-653612.html,P-core: 2.2 - 4.8 GHz/E-core: 2.2 - 3.7 GHz,4999.0,new
2-in-1 Laptop - Convertible,Lenovo,IdeaPad Flex 5,638113,17%,3899,3199.0,,,"Dolby Audio, 2 X 2W Speakers",Luna Grey,Intel Core i7,Intel UHD Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/8/5/7/5/8575720d0ff31ad62d3808a0efb4b61151a3c713_638113.jpg,Windows 11 Home,16 GB RAM,WUXGA IPS 300N Multi-touch Display,1920 X 1200 (WUXGA),"14""",512 GB PCIe NVMe M.2 SSD,Yes,1080p FHD Camera with Privacy Shutter,1.55 kg ( 3.42 lb ),https://www.jarir.com/sa-en/lenovo-ideapad-flex-5-2-in-1-laptops-638113.html,P-core: 2.4 - 4.9 GHz/E-core: 1.8 - 3.6 GHz,3199.0,new
2-in-1 Laptop - Detachable,Microsoft,Surface Pro 11,639135,14%,4699,3999.0,Qualcomm Hexagon NPU 45 TOPS,CoPilot+ PC,2W Speakers,Platinum,Snapdragon X Plus,Qualcomm Adreno,https://ak-asset.jarir.com/akeneo-prod/asset/0/b/e/4/0be42e1de58854a21aa4112bb653c5b3af6393bd_639135.jpg,Windows 11 Home,16 GB RAM,PixelSense Flow Display,2880 X 1920,"13""",256 GB SSD,Yes,Rear: 10 MP/Front: Quad HD,.90 kg ( 1.98 lb ),https://www.jarir.com/sa-en/microsoft-surface-pro-11-2-in-1-laptops-639135.html,,3999.0,new
2-in-1 Laptop - Convertible,HP,OmniBook 5 Flip,659844,,4799,,,,"Dual Speakers, HP Audio Boost",Glacier Silver,Intel Core 7,Intel Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/0/d/0/6/0d066615973285cf8d5ed9882d9cf98e2447d480_659844.jpg,Windows 11 Home,16 GB RAM,2K-IPS Touch Display,1920 X 1200,"14""",1 TB PCIe Gen4,Yes,5 MP IR Camera with Temporal Noise Reduction,1.62 kg ( 3.57 lb ),https://www.jarir.com/sa-en/hp-2-in-1-laptops-659844.html,P-core: 1.8 - 5.4 GHz/E-core: 1.2 - 4.0 GHz,,new
2-in-1 Laptop - Convertible,Lenovo,IdeaPad Flex 5,638104,23%,2999,2299.0,,,"Dolby Audio, 2 X 2W Speakers",Luna Grey,Intel Core i5,Intel UHD Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/5/f/2/3/5f237f822b0ec6ac2ee2b0f2e41c0ff982171bae_638104.jpg,Windows 11 Home,8 GB RAM,WUXGA IPS 300N Multi-touch Display,1920 X 1200 (WUXGA),"14""",512 GB PCIe NVMe M.2 SSD,Yes,1080p FHD Camera with Privacy Shutter,1.55 kg ( 3.42 lb ),https://www.jarir.com/sa-en/lenovo-ideapad-flex-5-2-in-1-laptops-638104.html,P-core: 2.1 - 4.6 GHz/E-core: 1.5 - 3.4 GHz,2299.0,new
2-in-1 Laptop - Convertible,HP,OmniBook 5 Flip,660054,,3899,,,,"Dual Speakers, HP Audio Boost",Glacier Silver,Intel Core 5,Intel Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/3/d/f/1/3df17d5330074bf2b3c9eee022a420b60e06c5aa_660054.jpg,Windows 11 Home,16 GB RAM,2K-IPS Touch Display,1920 X 1200,"14""",512 GB,Yes,5 MP IR Camera with Temporal Noise Reduction,1.62 kg ( 3.57 lb ),https://www.jarir.com/sa-en/hp-2-in-1-laptops-660054.html,P-core: 1.4 - 5.0 GHz/E-core: 0.9 - 3.8 GHz,,new
2-in-1 Laptop - Convertible,Lenovo,ThinkBook 14,653447,,6499,,Intel AI Boost,AI Enabled,"Dolby Atmos, 2 X 2W Stereo Speakers",Luna Grey,Intel Core Ultra 7,Intel Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/e/a/b/5/eab5bed0a56d2fd1c1280a44116c8d8c7ffd15b8_653447.jpg,Windows 11 Pro,32 GB RAM,WUXGA IPS 300N Multi-touch Display,1920 X 1200 (WUXGA),"14""",1 TB SSD,Yes,1080p FHD IR with Privacy Shutter,1.64 kg ( 3.62 lb ),https://www.jarir.com/sa-en/lenovo-thinkbook-14-2-in-1-laptops-653447.html,P-core: 1.7 - 4.8 GHz/E-core: 1.2 - 3.8 GHz,,new
2-in-1 Laptop - Convertible,Asus,Vivobook Flip,635972,23%,2799,2149.0,,,"Built-in Speakers/Array Microphone, Harman/Kardon",Cool Silver,AMD Ryzen 5,AMD Radeon Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/8/8/5/0/885081acc3c3dfe5376a1fc7285be116bc778977_635972.jpg,Windows 11 Home,8 GB RAM,WUXGA IPS 300N Multi-touch Display,1920 X 1200 (WUXGA),"14""",512 GB PCIe NVMe M.2 SSD,Yes,1080p FHD Camera with Privacy Shutter,1.50 kg ( 3.31 lb ),https://www.jarir.com/sa-en/asus-2-in-1-laptops-635972.html,2.3 GHz,2149.0,new
2-in-1 Laptop - Detachable,Microsoft,Surface Pro 9,599165,50%,8799,4399.0,,,2W Speakers,Graphite Grey,Intel Core i7,Intel Iris Xe Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/3/3/7/c/337ccd43e08e3137051d145e414349b50b3d51fd_599165.jpg,Windows 11,16 GB RAM,PixelSense Flow Display,2880 X 1920 (WQHD),"13""",512 GB,Yes,Rear: 10 MP/Front: 5 MP,.90 kg ( 1.98 lb ),https://www.jarir.com/sa-en/microsoft-surface-pro-9-2-in-1-laptops-599165.html,P-core: 1.7 - 4.7 GHz/E-core: 1.2 - 3.5 GHz,4399.0,new
2-in-1 Laptop - Convertible,HP,Elite x360,619502,,6699,,,,"Bang & Olufsen Quad Speakers, HP Audio Boost",Aluminum Silver,Intel Core i7,Intel Iris Xe Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/b/c/c/c/bccc318002ddacbcbbaa4892952a31a5659f16e4_619502.jpg,Windows 11 Pro,16 GB RAM,WUXGA Multi-touch Display,1920 X 1200 (WUXGA),"14""",1 TB PCIe NVMe M.2 SSD,Yes,True Vision 5 MP IR Webcam,1.34 kg ( 2.95 lb ),https://www.jarir.com/sa-en/hp-1040-g10-2-in-1-laptops-619502.html,P-core: 1.7 - 5.0 GHz/E-core: 1.2 - 3.7 GHz,,new
2-in-1 Laptop - Convertible,Lenovo,Yoga Book 9,641550,18%,9999,8199.0,Intel AI Boost,AI Enabled,"Dolby Atmos, 2 X 2W Tweeters + 2 X 2W Woofers",Tidal Teal,Intel Core Ultra 7,Intel Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/5/e/c/2/5ec2a33840509f7c591f2464eb251bcb38ce3ca5_641550.jpg,Windows 11 Home,32 GB RAM,2.8K OLED 400N Multi-touch Display,2880 X 1800,"13.3""",1 TB PCIe NVMe M.2 SSD,Yes,5 MP with IR Function,1.34 kg ( 2.95 lb ),https://www.jarir.com/sa-en/lenovo-yoga-book-9-2-in-1-laptops-641550.html,P-core: 1.7 - 4.8 GHz/E-core: 1.2 - 3.8 GHz,8199.0,new
2-in-1 Laptop - Convertible,Lenovo,Yoga C700,638119,20%,4999,3999.0,,,"Dolby Atmos, 2 X 2W Speakers",Storm Grey,AMD Ryzen 7,AMD Radeon Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/e/7/b/4/e7b4d9ce381b5d4318df3ac0ee4487400d9d52c7_638119.jpg,Windows 11 Home,16 GB RAM,WUXGA OLED Multi-touch Display,1920 X 1200,"14""",1 TB PCIe NVMe M.2 SSD,Yes,1080p FHD IR with Privacy Shutter,1.49 kg ( 3.28 lb ),https://www.jarir.com/sa-en/lenovo-yoga-c700-2-in-1-laptops-638119.html,3.3 GHz,3999.0,new
2-in-1 Laptop - Convertible,Lenovo,IdeaPad Flex 5,643733,25%,3199,2399.0,,,"Dolby Audio, Stereo Speakers (2 X 2 W)",Arctic Grey,AMD Ryzen 7,AMD Radeon Graphics (Integrated),https://ak-asset.jarir.com/akeneo-prod/asset/2/a/4/3/2a43cd44843c3af90359b0524181a899528b75e9_643733.jpg,Windows 11,16 GB RAM,WUXGA/IPS-LED Multi-touch Display,1920 X 1200 (WUXGA),"14""",512 GB PCIe NVMe M.2 SSD,Yes,720p HD Camera with Privacy Shutter,1.55 kg ( 3.42 lb ),https://www.jarir.com/sa-en/lenovo-ideapad-flex-5-2-in-1-laptops-643733.html,2.0 GHz,2399.0,new
2-in-1 Laptop - Detachable,Huawei,MateBook E,621247,5%,5499,5199.0,,,Built in 4 Speakers: 2W X 2 + 1W X 2,Nebula Grey,Intel Core i7,Intel Iris Xe Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/f/f/8/4/ff843801dc05df9492ebf5d33c61fa76b7d1a610_621247.jpg,Windows 11,16 GB RAM,OLED,2560 X 1600 (QHD),"12.6""",512 GB,Yes,8 MP,699.00 g ( 1.54 lb ),https://www.jarir.com/sa-en/huawei-matebook-e-2-in-1-laptops-621247.html,1.1 GHz,5199.0,new
2-in-1 Laptop - Convertible,Lenovo,Yoga 9,629268,52%,7799,3699.0,,,Stereo Speakers (2 X 3W Woofers) + (2 X 2W Tweeters),Oatmeal,Intel Core i7,Intel Iris Xe Graphics,https://ak-asset.jarir.com/akeneo-prod/asset/a/e/d/5/aed531f6d404fe080d5f2f358b43b15b6c6b5a8c_629268.jpg,Windows 11 Home,16 GB RAM,OLED,2880 X 1800,"14""",1 TB PCIe NVMe M.2 SSD,Yes,FHD Webcam,1.40 kg ( 3.09 lb ),https://www.jarir.com/sa-en/lenovo-yoga-9-oled-renewed-2-in-1-laptops-629268.html,P-core: 2.2 - 5.0 GHz/E-core: 1.6 - 3.7 GHz,3699.0,renewed
2-in-1 Laptop - Convertible,Lenovo,IdeaPad Flex 5,657446,14%,2499,2149.0,,,2 X 2W Stereo Speakers with Dolby Audio,Arctic Grey,AMD Ryzen 7,AMD Radeon Graphics (Integrated),https://ak-asset.jarir.com/akeneo-prod/asset/0/c/9/3/0c93a8e40e742c1c90f05871eac74744f4be1e2d_657446.jpg,Windows 11 Home,16 GB RAM,WUXGA IPS 300N Multi-touch Display,1920 X 1200,"14""",1 TB SSD,Yes,HD Webcam,1.55 kg ( 3.42 lb ),https://www.jarir.com/sa-en/lenovo-2-in-1-laptops-657446.html,2.0 GHz,2149.0,new
