product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,color,image_url,os,ram,screen_refresh_rate_hz,screen_size_inch,screen_type,special_features,storage,weight_kg,product_url,ai_enabled,cpu_clock,sim_slots,price,renewed
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad Pro 12.2,641859,25%,3599,2699.0,Premium Gold,https://ak-asset.jarir.com/akeneo-prod/asset/e/1/f/8/e1f87384d2a14b63c2e0db380fc3f0175004d1de_641859.jpg,HarmonyOS 4.2,12 GB RAM,OLED PaperMatte Touchscreen,"12.2""",2800 X 1840 Pixels,"Huawei Notes, GoPaint, 100W Fast Charging, Smart Device",512 GB,508.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-641859.html,,,,2699.0,new
Wi-Fi Tablet PC,Huawei,MatePad Pro 12.2,649210,25%,3599,2699.0,Black,https://ak-asset.jarir.com/akeneo-prod/asset/e/7/7/8/e7785a2dcaf29acfc12811a568e2f78092e0a970_649210.jpg,HarmonyOS 4.2,12 GB RAM,OLED PaperMatte Touchscreen,"12.2""",2800 X 1840 Pixels,"HUAWEI Notes, GoPaint, 100W Fast Charging, Smart Device",512 GB,508.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/huawei-matepad-pro-12-2-tablet-pc-649210.html,,,,2699.0,new
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 11.5 S,637736,34%,1899,1249.0,Silver Frost,https://ak-asset.jarir.com/akeneo-prod/asset/3/d/c/c/3dcc1a5657263cc0eea10bccb3131b53fa0f3eb1_637736.jpg,HarmonyOS 4.2,8 GB RAM,IPS FHD-LCD Touchscreen,"11.5""",2800 X 1840 Pixels,"Huawei App Gallery, Huawei Notes, GoPaint",256 GB,510.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-637736.html,,,,1249.0,new
Wi-Fi Tablet PC,Samsung,Galaxy Tab S10+,644972,20%,3999,3199.0,Platinum Silver,https://ak-asset.jarir.com/akeneo-prod/asset/0/4/a/2/04a2860353064bb3da25898ff7153524489289eb_644972.jpg,Android 14,12 GB RAM,Dynamic AMOLED 2X,"12.4""",2800 X 1752 Pixels,"Water and Dust Resistant (IP68), Enhanced Armor Aluminum",256 GB,571.00 g ( 1.26 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-tablet-pc-644972.html,AI Enabled,3.4 GHz + 2.8 GHz + 2.0 GHz,,3199.0,new
Wi-Fi Tablet PC,Samsung,Galaxy Tab S10+,644968,20%,3999,3199.0,Moonstone Grey,https://ak-asset.jarir.com/akeneo-prod/asset/4/f/5/c/4f5c4412b976b8064b977a51bcef4cb51b8ae36f_644968.jpg,Android 14,12 GB RAM,Dynamic AMOLED 2X,"12.4""",2800 X 1752 Pixels,"Water and Dust Resistant (IP68), Enhanced Armor Aluminum",256 GB,571.00 g ( 1.26 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-tablet-pc-644968.html,AI Enabled,3.4 GHz + 2.8 GHz + 2.0 GHz,,3199.0,new
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad Pro 13.2,653651,15%,3899,3299.0,Black,https://ak-asset.jarir.com/akeneo-prod/asset/5/9/f/a/59fa8aeba7bfeb5f880d4fc6868ff7c074695644_653651.jpg,HarmonyOS 4.3,12 GB RAM,OLED,"13.2""",2880 X 1920 Pixels,"AI Handwriting Adjustments, 100W Fast Charging",256 GB,580.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/huawei-matepad-pro-13-2-tablet-pc-653651.html,,,,3299.0,new
Wi-Fi Tablet PC,Apple,iPad Air 11 M2,635549,12%,4949,4349.0,Blue,https://ak-asset.jarir.com/akeneo-prod/asset/c/7/6/7/c767286538ad64f7f4d251d0e2c04752e4842030_635549.jpg,iPadOS 17,8 GB RAM,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID,1 TB,462.00 g ( 1.02 lb ),https://www.jarir.com/sa-en/apple-ipad-air-11-m2-2024-tablet-pc-635549.html,Apple Intelligence,,,4349.0,new
Wi-Fi Tablet PC,Apple,iPad Air 11 M2,635551,12%,4949,4349.0,Purple,https://ak-asset.jarir.com/akeneo-prod/asset/c/f/4/a/cf4a3b77660a9652b65300120322ee4d972c0b66_635551.jpg,iPadOS 17,8 GB RAM,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID,1 TB,462.00 g ( 1.02 lb ),https://www.jarir.com/sa-en/apple-ipad-air-11-m2-2024-tablet-pc-635551.html,Apple Intelligence,,,4349.0,new
Tablet - 5G,Apple,iPad Air 13 M2,635586,12%,4399,3849.0,Blue,https://ak-asset.jarir.com/akeneo-prod/asset/3/1/0/1/31012d94bc725b7185f136e25fa3b03a89942cd1_635586.jpg,iPadOS 17,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,128 GB,618.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m2-2024-tablet-pc-635586.html,Apple Intelligence,,,3849.0,new
Wi-Fi Tablet PC,Apple,iPad Air 13 M2,635580,10%,5049,4499.0,Blue,https://ak-asset.jarir.com/akeneo-prod/asset/2/d/6/4/2d6400cc88dd42fbaa9bb3f8d2ea9b28ce31ac6d_635580.jpg,iPadOS 17,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,512 GB,617.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m2-2024-tablet-pc-635580.html,Apple Intelligence,,,4499.0,new
