product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_coprocessor,ai_enabled,audio_feature,color,cpu_model,gpu_model,os,ram,screen_refresh_rate_hz,screen_resolution,screen_size_inch,storage,touchscreen,webcam,weight_kg,product_url,cpu_clock
2-in-1 Laptop - Convertible,Lenovo,IdeaPad Flex 5,638104,23%,2999,2299,,,"Dolby Audio, 2 X 2W Speakers",Luna Grey,Intel Core i5,Intel UHD Graphics,Windows 11 Home,8 GB RAM,WUXGA IPS 300N Multi-touch Display,1920 X 1200 (WUXGA),"14""",512 GB PCIe NVMe M.2 SSD,Yes,1080p FHD Camera with Privacy Shutter,1.55 kg ( 3.42 lb ),https://www.jarir.com/sa-en/lenovo-ideapad-flex-5-2-in-1-laptops-638104.html,P-core: 2.1 - 4.6 GHz/E-core: 1.5 - 3.4 GHz
2-in-1 Laptop - Convertible,Asus,Vivobook Flip,635972,23%,2799,2149,,,"Built-in Speakers/Array Microphone, Harman/Kardon",Cool Silver,AMD Ryzen 5,AMD Radeon Graphics,Windows 11 Home,8 GB RAM,WUXGA IPS 300N Multi-touch Display,1920 X 1200 (WUXGA),"14""",512 GB PCIe NVMe M.2 SSD,Yes,1080p FHD Camera with Privacy Shutter,1.50 kg ( 3.31 lb ),https://www.jarir.com/sa-en/asus-2-in-1-laptops-635972.html,2.3 GHz
2-in-1 Laptop - Convertible,HP,Pavilion x360,618699,,4799,,,,,Natural Silver,Intel Core i7,Intel Iris Xe Graphics,Windows 11,16 GB RAM,FHD-IPS LED Multi-touch Display,1920 X 1080 (FHD),"14""",1 TB PCIe NVMe M.2 SSD,Yes,True Vision HD Webcam,1.50 kg ( 3.31 lb ),https://www.jarir.com/sa-en/hp-pavilion-x360-14-2-in-1-laptops-618699.html,P-core: 1.7 - 5.0 GHz/E-core: 1.2 - 3.7 GHz
2-in-1 Laptop - Convertible,HP,Spectre x360,630776,,9999,,Intel AI Boost,AI Enabled,"DTS:X Ultra, Quad Speakers, HP Audio Boost",Nightfall Black,Intel Core Ultra 7,NVIDIA GeForce RTX 4050 (6 GB),Windows 11 Home,32 GB RAM,2.8K OLED 400N Multi-touch Display,2880 X 1800,"16""",1 TB PCIe NVMe M.2 SSD,Yes,Wide Vision 9 MP IR with Camera Shutter,1.95 kg ( 4.30 lb ),https://www.jarir.com/sa-en/hp-spectre-x360-2-in-1-laptops-630776.html,2.5 GHz
2-in-1 Laptop - Convertible,HP,ENVY x360,637352,,5699,,Intel AI Boost,AI Enabled,"Poly Studio, Dual Speakers, DTS:X Ultra, HP Audio Boost",Meteor Silver,Intel Core Ultra 7,Integrated Intel Graphics,Windows 11 Home,16 GB RAM,WUXGA IPS 300N Multi-touch Display,1920 X 1200 (WUXGA),"14""",1 TB PCIe NVMe M.2 SSD,Yes,5 MP IR Camera with Temporal Noise Reduction,1.39 kg ( 3.06 lb ),https://www.jarir.com/sa-en/hp-envy-x360-2-in-1-laptops-637352.html,2.5 GHz
2-in-1 Laptop - Convertible,HP,Spectre x360,630773,,7999,,Intel AI Boost,AI Enabled,"DTS:X Ultra, Quad Speakers, HP Audio Boost",Slate Blue,Intel Core Ultra 7,Intel Arc Graphics,Windows 11 Home,32 GB RAM,2.8K OLED 400N Multi-touch Display,2880 X 1800,"14""",1 TB PCIe NVMe M.2 SSD,Yes,Wide Vision 9 MP IR with Camera Shutter,2.25 kg ( 4.96 lb ),https://www.jarir.com/sa-en/hp-spectre-x360-2-in-1-laptops-630773.html,2.5 GHz
2-in-1 Laptop - Convertible,Lenovo,ThinkBook 14,653447,,6499,,Intel AI Boost,AI Enabled,"Dolby Atmos, 2 X 2W Stereo Speakers",Luna Grey,Intel Core Ultra 7,Intel Graphics,Windows 11 Pro,32 GB RAM,WUXGA IPS 300N Multi-touch Display,1920 X 1200 (WUXGA),"14""",1 TB SSD,Yes,1080p FHD IR with Privacy Shutter,1.64 kg ( 3.62 lb ),https://www.jarir.com/sa-en/lenovo-thinkbook-14-2-in-1-laptops-653447.html,P-core: 1.7 - 4.8 GHz/E-core: 1.2 - 3.8 GHz
2-in-1 Laptop - Convertible,MSI,Summit,650278,37%,7999,4999,Intel AI Boost up to 48 TOPS,CoPilot+ PC,DTS Studio Sound; Dual Speakers,Ink Black,Intel Core Ultra 9,Intel Arc Graphics,Windows 11 Home,32 GB RAM,FHD+ Touch Display,1920 X 1200,"13.3""",1 TB PCIe Gen4,Yes,FHD with HDR & 3D Noise Reduction+ (3DNR+),1.35 kg ( 2.98 lb ),https://www.jarir.com/sa-en/msi-summit-13-2-in-1-laptops-650278.html,5.1 GHz
2-in-1 Laptop - Convertible,Lenovo,Yoga Book 9,641550,18%,9999,8199,Intel AI Boost,AI Enabled,"Dolby Atmos, 2 X 2W Tweeters + 2 X 2W Woofers",Tidal Teal,Intel Core Ultra 7,Intel Graphics,Windows 11 Home,32 GB RAM,2.8K OLED 400N Multi-touch Display,2880 X 1800,"13.3""",1 TB PCIe NVMe M.2 SSD,Yes,5 MP with IR Function,1.34 kg ( 2.95 lb ),https://www.jarir.com/sa-en/lenovo-yoga-book-9-2-in-1-laptops-641550.html,P-core: 1.7 - 4.8 GHz/E-core: 1.2 - 3.8 GHz
2-in-1 Laptop - Convertible,Lenovo,Yoga C700,638119,20%,4999,3999,,,"Dolby Atmos, 2 X 2W Speakers",Storm Grey,AMD Ryzen 7,AMD Radeon Graphics,Windows 11 Home,16 GB RAM,WUXGA OLED Multi-touch Display,1920 X 1200,"14""",1 TB PCIe NVMe M.2 SSD,Yes,1080p FHD IR with Privacy Shutter,1.49 kg ( 3.28 lb ),https://www.jarir.com/sa-en/lenovo-yoga-c700-2-in-1-laptops-638119.html,3.3 GHz
2-in-1 Laptop - Convertible,Lenovo,IdeaPad Flex 5,643733,25%,3199,2399,,,"Dolby Audio, Stereo Speakers (2 X 2 W)",Arctic Grey,AMD Ryzen 7,AMD Radeon Graphics (Integrated),Windows 11,16 GB RAM,WUXGA/IPS-LED Multi-touch Display,1920 X 1200 (WUXGA),"14""",512 GB PCIe NVMe M.2 SSD,Yes,720p HD Camera with Privacy Shutter,1.55 kg ( 3.42 lb ),https://www.jarir.com/sa-en/lenovo-ideapad-flex-5-2-in-1-laptops-643733.html,2.0 GHz
2-in-1 Laptop - Convertible,Lenovo,IdeaPad Flex 5,657446,14%,2499,2149,,,2 X 2W Stereo Speakers with Dolby Audio,Arctic Grey,AMD Ryzen 7,AMD Radeon Graphics (Integrated),Windows 11 Home,16 GB RAM,WUXGA IPS 300N Multi-touch Display,1920 X 1200,"14""",1 TB SSD,Yes,HD Webcam,1.55 kg ( 3.42 lb ),https://www.jarir.com/sa-en/lenovo-2-in-1-laptops-657446.html,2.0 GHz
2-in-1 Laptop - Detachable,Huawei,MateBook E,621247,5%,5499,5199,,,Built in 4 Speakers: 2W X 2 + 1W X 2,Nebula Grey,Intel Core i7,Intel Iris Xe Graphics,Windows 11,16 GB RAM,OLED,2560 X 1600 (QHD),"12.6""",512 GB,Yes,8 MP,699.00 g ( 1.54 lb ),https://www.jarir.com/sa-en/huawei-matebook-e-2-in-1-laptops-621247.html,1.1 GHz
2-in-1 Laptop - Convertible,HP,OmniBook 5 Flip,659844,,4799,,,,"Dual Speakers, HP Audio Boost",Glacier Silver,Intel Core 7,Intel Graphics,Windows 11 Home,16 GB RAM,2K-IPS Touch Display,1920 X 1200,"14""",1 TB PCIe Gen4,Yes,5 MP IR Camera with Temporal Noise Reduction,1.62 kg ( 3.57 lb ),https://www.jarir.com/sa-en/hp-2-in-1-laptops-659844.html,P-core: 1.8 - 5.4 GHz/E-core: 1.2 - 4.0 GHz
2-in-1 Laptop - Convertible,Lenovo,Yoga 9,629268,52%,7799,3699,,,Stereo Speakers (2 X 3W Woofers) + (2 X 2W Tweeters),Oatmeal,Intel Core i7,Intel Iris Xe Graphics,Windows 11 Home,16 GB RAM,OLED,2880 X 1800,"14""",1 TB PCIe NVMe M.2 SSD,Yes,FHD Webcam,1.40 kg ( 3.09 lb ),https://www.jarir.com/sa-en/lenovo-yoga-9-oled-renewed-2-in-1-laptops-629268.html,P-core: 2.2 - 5.0 GHz/E-core: 1.6 - 3.7 GHz
2-in-1 Laptop - Convertible,Lenovo,Yoga C700,658448,36%,4999,3199,,,"Dolby Atmos, 2 X 2W Speakers",Storm Grey,AMD Ryzen 7,AMD Radeon Graphics,Windows 11 Home,16 GB RAM,WUXGA OLED Multi-touch Display,1920 X 1200,"14""",1 TB PCIe NVMe M.2 SSD,Yes,1080p FHD IR with Privacy Shutter,1.49 kg ( 3.28 lb ),https://www.jarir.com/sa-en/lenovo-yoga-c700-renewed-2-in-1-laptops-658448.html,3.3 GHz
