product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_enabled,color,cpu_clock,os,ram,screen_refresh_rate_hz,screen_size_inch,screen_type,special_features,storage,weight_kg,product_url,sim_slots
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad Pro 13.2,653651,15%,3899,3299,,Black,,HarmonyOS 4.3,12 GB RAM,OLED,"13.2""",2880 X 1920 Pixels,"AI Handwriting Adjustments, 100W Fast Charging",256 GB,580.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/huawei-matepad-pro-13-2-tablet-pc-653651.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 11.5 S,637736,34%,1899,1249,,Silver Frost,,HarmonyOS 4.2,8 GB RAM,IPS FHD-LCD Touchscreen,"11.5""",2800 X 1840 Pixels,"Huawei App Gallery, Huawei Notes, GoPaint",256 GB,510.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-637736.html,
Wi-Fi Tablet PC,Apple,iPad Air 11 M2,635549,12%,4949,4349,Apple Intelligence,Blue,,iPadOS 17,8 GB RAM,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID,1 TB,462.00 g ( 1.02 lb ),https://www.jarir.com/sa-en/apple-ipad-air-11-m2-2024-tablet-pc-635549.html,
Wi-Fi Tablet PC,Apple,iPad Air 13 M2,635580,10%,5049,4499,Apple Intelligence,Blue,,iPadOS 17,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,512 GB,617.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m2-2024-tablet-pc-635580.html,
Wi-Fi Tablet PC,Apple,iPad Air 11 M2,635551,12%,4949,4349,Apple Intelligence,Purple,,iPadOS 17,8 GB RAM,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID,1 TB,462.00 g ( 1.02 lb ),https://www.jarir.com/sa-en/apple-ipad-air-11-m2-2024-tablet-pc-635551.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 11.5 S,637290,27%,1999,1449,,Space Grey,,HarmonyOS 4.2,8 GB RAM,PaperMatte Touchscreen,"11.5""",2800 X 1840 Pixels,"Huawei App Gallery, Huawei Notes, GoPaint, PaperMatte Screen",256 GB,510.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-s-tablet-pc-637290.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 12 X,644216,20%,2499,1999,,Green,,HarmonyOS 4.2,12 GB RAM,PaperMatte Touchscreen,"12""",2800 X 1840 Pixels,"HUAWEI Notes, GoPaint, 65W Fast Charging",256 GB,555.00 g ( 1.22 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-644216.html,
Tablet - 5G,Apple,iPad Air 13 M2,635566,12%,4399,3849,Apple Intelligence,Space Grey,,iPadOS 17,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,128 GB,617.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m2-2024-tablet-pc-635566.html,
Tablet - 5G,Apple,iPad Air 13 M2,635586,12%,4399,3849,Apple Intelligence,Blue,,iPadOS 17,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,128 GB,618.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m2-2024-tablet-pc-635586.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 11.5 S,637289,27%,1999,1449,,Violet,,HarmonyOS 4.2,8 GB RAM,PaperMatte Touchscreen,"11.5""",2800 X 1840 Pixels,"Huawei App Gallery, Huawei Notes, GoPaint, PaperMatte Screen",256 GB,510.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-s-tablet-pc-637289.html,
