product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_coprocessor,ai_enabled,audio_feature,color,cpu_clock,cpu_model,gpu_model,image_url,os,ram,release_date,screen_refresh_rate_hz,screen_resolution,screen_size_inch,special_features,storage,webcam,weight_kg,product_url,price,renewed
Gaming Laptop,HP,OMEN,634919,17%,8499.0,6999.0,,,"DTS:X Ultra, Dual Speakers, HP Audio Boost, HyperX",Shadow Black,5.5 GHz,Intel Core i7,NVIDIA GeForce RTX 4060 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/e/4/d/e/e4ded0392870e036f818428a7ec51a4e6ff7c29e_634919.jpg,Windows 11 Home,32 GB RAM,2024.0,QHD-IPS Display,2560 X 1440 (QHD),"16.1""","4-zone RGB Backlit, Low Blue Light",1 TB PCIe NVMe M.2 SSD,True Vision FHD Webcam,2.39 kg ( 5.27 lb ),https://www.jarir.com/sa-en/hp-omen-laptops-634919.html,6999.0,new
Gaming Laptop,MSI,Cyborg,638294,24%,5799.0,4399.0,,,Dynaudio Sound 2X 2W Speakers with Passive Radiator,Black,P-core: 2.4 - 4.9 GHz/E-core: 1.8 - 3.6 GHz,Intel Core i7,NVIDIA GeForce RTX 4060 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/8/7/a/b/87abfca02dcdb7031dbf940bb19d51a8168a1116_638294.jpg,Windows 11 Home,16 GB RAM,2024.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",,1 TB SSD,HD Webcam,1.98 kg ( 4.37 lb ),https://www.jarir.com/sa-en/msi-cyborg-15-laptops-638294.html,4399.0,new
Gaming Laptop,MSI,Thin,645400,25%,3999.0,2999.0,,,Built-in Dual Speakers (2 X 2W),Cosmos Grey,2.4 GHz,Intel Core i7,NVIDIA GeForce RTX 3050 (4 GB),https://ak-asset.jarir.com/akeneo-prod/asset/e/0/3/e/e03eb1cd465c50890498fc238411782360414b43_645400.jpg,Windows 11 Home,16 GB RAM,2024.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",Blue Backlit Gaming Keyboard,512 GB NVMe PCIe SSD Gen 4x4,HD Webcam,1.86 kg ( 4.10 lb ),https://www.jarir.com/sa-en/msi-thin-15-laptops-645400.html,2999.0,new
Gaming Laptop,MSI,Crosshair 17 HX AI,655716,11%,8999.0,7999.0,Intel AI Boost up to 13 TOPS,AI Enabled,"Nahimic Sound, 2 X 2W Speakers",Cosmos Grey,P-core: 2.7 - 5.4 GHz/E-core: 2.1 - 4.6 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 5070Â (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/c/0/1/e/c01e6f32f50a426e2044a9b3adec648f39d74db6_655716.jpg,Windows 11 Home,16 GB RAM,2025.0,QHD+ 240 Hz Display,2560 X 1600 (QHD),"17""",24-Zone RGB Gaming Keyboard,1 TB NVMe PCIe Gen 4Ã4 SSD,,2.80 kg ( 6.17 lb ),https://www.jarir.com/sa-en/msi-crosshair-laptops-655716.html,7999.0,new
Gaming Laptop,Asus,ROG Strix,635917,16%,7499.0,6299.0,,,"2 Speakers with Smart Amplifier Technology, Dolby Atmos",Eclipse Grey,2.2 - 5.8 GHz,Intel Core i9,NVIDIA GeForce RTX 4060 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/f/c/d/7/fcd7d3ac6dedf73babcd9f6d9490c00dc6aa74f5_635917.jpg,Windows 11 Home,16 GB RAM,2024.0,FHD-LED Display 165 Hz,1920 X 1200 (FHD+),"16""","AI Noise Canceling, Backlit Chiclet Keyboard 4-Zone RGB",1 TB M.2 NVMe PCIe 4.0 SSD,720p HD Camera,2.50 kg ( 5.51 lb ),https://www.jarir.com/sa-en/asus-rog-strix-g16-laptops-635917.html,6299.0,new
Gaming Desktop CPU,Acer,Predator Orion 7000,649807,5%,18499.0,17499.0,Intel AI Boost,AI Enabled,,Black,P-core: 3.7 - 5.5 GHz/E-core: 3.2 - 4.6 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 5080 (16 GB),https://ak-asset.jarir.com/akeneo-prod/asset/9/4/a/5/94a55386238cfc91a52f56262cbbaad997c07245_649807.jpg,Windows 11,64 GB RAM,,,,,,2 TB SSD,,31.15,https://www.jarir.com/sa-en/acer-predator-orion-7000-cpu-649807.html,17499.0,new
Gaming Laptop,Acer,Nitro 5,644114,33%,2999.0,1999.0,,,Built-in Mic/Speakers,Black,2.0 GHz,Intel Core i5,NVIDIA GeForce RTX 2050 (4 GB),https://ak-asset.jarir.com/akeneo-prod/asset/f/e/2/9/fe29c1b656ad5465e2c38dc0a1c86d6f89a73524_644114.jpg,Windows 11,8 GB RAM,2024.0,FHD-LED 144 Hz,1920 X 1080 (FHD),"15.6""",RGB Keyboard,512 GB SSD,720p HD Camera,2.10 kg ( 4.63 lb ),https://www.jarir.com/sa-en/acer-nitro-5-laptops-644114.html,1999.0,new
Gaming Desktop CPU,Acer,Predator Orion 5000,649808,8%,11999.0,10999.0,Intel AI Boost,AI Enabled,,Black,P-core: 2.4 - 5.2 GHz/E-core: 1.8 - 4.6 GHz,Intel Core Ultra 7,NVIDIA GeForce RTX 5070 (12 GB),https://ak-asset.jarir.com/akeneo-prod/asset/f/2/f/6/f2f6edb5695f33e75d51cfd77a1f54625d67cc9c_649808.jpg,Windows 11,64 GB RAM,,,,,,1 TB SSD,,30.18,https://www.jarir.com/sa-en/acer-predator-orion-5000-cpu-649808.html,10999.0,new
Gaming Laptop,Asus,TUF,637823,12%,4999.0,4399.0,,,"AI Noise Cancelling, Dolby Atmos",Mecha Grey,3.1 GHz,AMD Ryzen 7,NVIDIA GeForce RTX 4060 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/6/2/6/2/62627668a4ca386e0e32c9b267e0465f27ef69b5_637823.jpg,Windows 11 Home,16 GB RAM,2024.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",Backlit Chiclet Keyboard 1-Zone RGB,1 TB M.2 NVMe PCIe 4.0 SSD,720p HD Camera,2.20 kg ( 4.85 lb ),https://www.jarir.com/sa-en/asus-laptops-637823.html,4399.0,new
Gaming Laptop,Lenovo,LOQ,641552,15%,4399.0,3699.0,,,2 X 2W Optimized with Nahimic Audio,Luna Grey,P-core: 2.6 - 4.9 GHz/E-core: 1.9 - 3.6 GHz,Intel Core i7,NVIDIA GeForce RTX 4050 (6 GB),https://ak-asset.jarir.com/akeneo-prod/asset/1/3/9/2/13922bfc12faf2084b0d3bb42c14b703c7228c8b_641552.jpg,Windows 11 Home,24 GB RAM,2024.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",,512 GB NVMe M.2 SSD,FHD 1080p with E-shutter,2.38 kg ( 5.25 lb ),https://www.jarir.com/sa-en/lenovo-loq-laptops-641552.html,3699.0,new
Gaming Laptop,Asus,TUF Gaming A15,648712,21%,3199.0,2499.0,,,Built-in Mic/Speakers,Graphite Black,3.3 GHz,AMD Ryzen 5,NVIDIA GeForce RTX 3050 (4 GB),https://ak-asset.jarir.com/akeneo-prod/asset/7/9/3/c/793cce323a9f1dd979a5231e6060b02acb8cd0aa_648712.jpg,Windows 11 Home,8 GB RAM,2024.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",Backlit Chiclet Keyboard 1-Zone RGB,512 GB PCIe NVMe M.2 SSD,720p HD Camera,2.30 kg ( 5.07 lb ),https://www.jarir.com/sa-en/asus-fx507z4hn132w-laptops-648712.html,2499.0,new
Gaming Laptop,Acer,Nitro V,649879,11%,5199.0,4599.0,,,Built-in Speakers/Mic,Black,4.1 GHz,Intel Core i9,NVIDIA GeForce RTX 4060 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/a/a/7/1/aa71a18649b88b84afb61f0f9380666758c32972_649879.jpg,Windows 11,16 GB RAM,2024.0,FHD IPS 165 Hz Display,1920 X 1080 (FHD),"15.6""",,1 TB SSD,720p HD Camera,2.10 kg ( 4.63 lb ),https://www.jarir.com/sa-en/acer-nitro-v-laptops-649879.html,4599.0,new
Gaming Desktop CPU,Acer,Nitro N,649809,9%,6399.0,5799.0,Intel AI Boost,AI Enabled,,Black,P-core: 2.4 - 5.2 GHz/E-core: 1.8 - 4.6 GHz,Intel Core Ultra 7,NVIDIA GeForce RTX 4060 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/1/1/f/5/11f54ad3b0671ee0197c0ef8e2d54043159c1dd6_649809.jpg,Windows 11,32 GB RAM,,,,,,1 TB SSD,,25.2,https://www.jarir.com/sa-en/acer-nitro-n50-cpu-649809.html,5799.0,new
Gaming Laptop,Asus,TUF,635998,20%,2999.0,2399.0,,,"2 Speaker System, DTS Software",Graphite Black,3.1 GHz,AMD Ryzen 7,NVIDIA GeForce RTX 2050 (4 GB),https://ak-asset.jarir.com/akeneo-prod/asset/5/c/9/0/5c9083ea34bca09cc761c567d11c492dfda6fb49_635998.jpg,Windows 11 Home,8 GB RAM,2024.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",Backlit Chiclet Keyboard 1 Zone RGB,512 GB NVMe M.2 SSD,720p HD Camera,2.30 kg ( 5.07 lb ),https://www.jarir.com/sa-en/asus-laptops-635998.html,2399.0,new
Gaming Laptop,Lenovo,LOQ,641551,10%,4999.0,4499.0,,,2 X 2W Optimized with Nahimic Audio,Luna Grey,P-core: 2.1 - 5.5 GHz/E-core: 1.5 - 3.9 GHz,Intel Core i7,NVIDIA GeForce RTX 4060 (8 GB),https://ak-asset.jarir.com/akeneo-prod/asset/7/8/2/6/782693c75d1b403b9d1cfdd7e19523921c592ab8_641551.jpg,Windows 11 Home,16 GB RAM,2024.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",,1 TB M.2 NVMe PCIe 4.0 SSD,FHD 1080p with E-shutter,2.38 kg ( 5.25 lb ),https://www.jarir.com/sa-en/lenovo-loq-laptops-641551.html,4499.0,new
Gaming Laptop,MSI,Raider,641142,26%,18999.0,13999.0,,,"4 Audio Speaker, 2 Audio Woofer",Black,2.2 GHz,Intel Core i9,NVIDIA GeForce RTX 4090 (16 GB),https://ak-asset.jarir.com/akeneo-prod/asset/7/f/f/5/7ff5446ebbf7ec9a511841ad0cf12d4378ef08a2_641142.jpg,Windows 11 Home,32 GB RAM,2024.0,QHD+ 240 Hz Display,2560 X 1600 (QHD),"18""",,2 TB NVMe PCIe Gen 4Ã4 SSD,1080P FHD IR Camera,3.60 kg ( 7.94 lb ),https://www.jarir.com/sa-en/msi-raider-18-hx-laptops-641142.html,13999.0,new
Gaming Laptop,Acer,Predator Helios,635227,,12499.0,,,,,Black,2.2 - 5.8 GHz,Intel Core i9,NVIDIA GeForce RTX 4080 (12 GB),https://ak-asset.jarir.com/akeneo-prod/asset/2/b/b/c/2bbcecaae97b9620a25aefa7bcc99506687c50c0_635227.jpg,Windows 11,32 GB RAM,2024.0,WQXGA IPS 240 Hz,2560 X 1600,"16""","Aero Blade 5th Gen Fans, 4 Zone RGB Keyboard",1 TB SSD,FHD Webcam,2.20 kg ( 4.85 lb ),https://www.jarir.com/sa-en/acer-helios-ph16-72-9467-laptops-635227.html,,new
Gaming Laptop,Lenovo,LOQ,641553,13%,2999.0,2599.0,,,2 X 2W Optimized with Nahimic Audio,Luna Grey,2.0 GHz,Intel Core i5,NVIDIA GeForce RTX 2050 (4 GB),https://ak-asset.jarir.com/akeneo-prod/asset/d/8/b/6/d8b6e373ae9c33719ae6c7983709e1d4c81c3f0f_641553.jpg,Windows 11 Home,12 GB RAM,2024.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",,512 GB NVMe M.2 SSD,720p HD with E-shutter,2.38 kg ( 5.25 lb ),https://www.jarir.com/sa-en/lenovo-loq-laptops-641553.html,2599.0,new
Gaming Laptop,Asus,TUF,637826,11%,3599.0,3199.0,,,"AI Noise Cancelling Tech, DTS Software",Graphite Black,3.1 GHz,AMD Ryzen 7,NVIDIA GeForce RTX 3050 (4 GB),https://ak-asset.jarir.com/akeneo-prod/asset/f/8/5/f/f85f73d9055c421eff8b82fc1d5dbaf208bcdd0c_637826.jpg,Windows 11 Home,16 GB RAM,2024.0,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"15.6""",,512 GB NVMe M.2 SSD,720p HD Camera,2.30 kg ( 5.07 lb ),https://www.jarir.com/sa-en/asus-laptops-637826.html,3199.0,new
