product_type,series,cpu_model,cpu_clock,gpu_model,ram,storage,os,os_arch,ai_coprocessor,ai_enabled,connectivity,ports,color,width_cm,height_cm,depth_cm,weight_kg,regular_price_sar,sale_price_sar,discount_percent,warranty_code,screen_size_inch,release_date,screen_refresh_rate_hz,screen_resolution,audio_feature,special_features,webcam,vr_ready,product_url
Gaming Desktop CPU,MSI Infinite,Intel Core Ultra 7 265K,3.3 GHz,NVIDIA GeForce RTX 5070 (12 GB),32 GB RAM,1 TB SSD,Windows 11,64-bit,Intel AI Boost,AI Enabled,Wi-Fi/Bluetooth,HDMI/USB-A/USB-C,Black,23.51 cm ( 9.26 in ),48.50 cm ( 1.59 ft ),48.12 cm ( 1.58 ft ),29.24,11999.0,9999.0,16%,08-3RD12Y2,,,,,,,,,https://www.jarir.com/sa-en/msi-infinite-x3-cpu-650218.html
Gaming Laptop,Lenovo Legion,Intel Core i7-14700HX (14th Gen),3.7 GHz,NVIDIA GeForce RTX 4060 (8 GB),16 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 11,64 bit,,,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C (DisplayPort 1.4)/RJ-45/Audio Combo Port,Onyx Grey,36.34 cm ( 14.31 in ),26.04 cm ( 10.25 in ),2.19 cm ( .86 in ),2.50 kg ( 5.51 lb ),7999.0,5999.0,25%,26-ASP12Y2,"16""",2023,QHD-LED IPS 165 Hz Display,2560 X 1600 (WQXGA),"Nahimic Sound, 2 X 2W Speakers",,FHD Webcam,VR Enabled,https://www.jarir.com/sa-en/lenovo-legion-pro-5-laptops-628022.html
Gaming Desktop CPU,Acer Predator,Intel Core Ultra 9 285K,P-core: 3.7 - 5.5 GHz/E-core: 3.2 - 4.6 GHz,NVIDIA GeForce RTX 5080 (16 GB),64 GB RAM,2 TB SSD,Windows 11,64-bit,Intel AI Boost,AI Enabled,Wi-Fi/Bluetooth,HDMI 2.1/DisplayPort/USB 2.0/USB 3.2/USB-C,Black,21.90 cm ( 8.62 in ),48.50 cm ( 1.59 ft ),50.40 cm ( 1.65 ft ),31.15,18499.0,16999.0,8%,34-ASPY2,,,,,,,,,https://www.jarir.com/sa-en/acer-predator-orion-7000-cpu-649807.html
Gaming Laptop,MSI Cyborg,Intel Core i7-13620H (13th Gen),P-core: 2.4 - 4.9 GHz/E-core: 1.8 - 3.6 GHz,NVIDIA GeForce RTX 4060 (8 GB),16 GB RAM,1 TB SSD,Windows 11 Home,64 bit,,,Wi-Fi/Bluetooth,HDMI 2.1/USB 3.2/USB-C 3.2 (DisplayPort)/RJ-45,Black,35.90 cm ( 14.13 in ),25.00 cm ( 9.84 in ),2.29 cm ( .90 in ),1.98 kg ( 4.37 lb ),5799.0,4399.0,24%,08-3RD12Y2,"15.6""",2024,FHD IPS 144 Hz Display,1920 X 1080 (FHD),Dynaudio Sound 2X 2W Speakers with Passive Radiator,,HD Webcam,VR Enabled,https://www.jarir.com/sa-en/msi-cyborg-15-laptops-638294.html
Gaming Desktop CPU,Acer Predator,Intel Core Ultra 7 265F,P-core: 2.4 - 5.2 GHz/E-core: 1.8 - 4.6 GHz,NVIDIA GeForce RTX 5070 (12 GB),64 GB RAM,1 TB SSD,Windows 11,64-bit,Intel AI Boost,AI Enabled,Wi-Fi/Bluetooth,HDMI 2.1/DisplayPort/USB 2.0/USB 3.2/USB-C,Black,20.00 cm ( 7.87 in ),46.00 cm ( 1.51 ft ),48.20 cm ( 1.58 ft ),30.18,11999.0,10999.0,8%,34-ASPY2,,,,,,,,,https://www.jarir.com/sa-en/acer-predator-orion-5000-cpu-649808.html
Gaming Laptop,MSI Thin,Intel Core i7-13620H (13th Gen),2.4 GHz,NVIDIA GeForce RTX 4050 (6 GB),16 GB RAM,512 GB NVMe PCIe SSD Gen 4x4,Windows 11 Home,64 bit,,,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C (DisplayPort)/RJ-45,Black,35.90 cm ( 14.13 in ),25.40 cm ( 10.00 in ),2.17 cm ( .85 in ),1.86 kg ( 4.10 lb ),4499.0,3599.0,20%,08-3RD12Y2,"15.6""",2024,FHD IPS 144 Hz Display,1920 X 1080 (FHD),Dynaudio Sound 2X 2W Speakers with Passive Radiator,,FHD Webcam,,https://www.jarir.com/sa-en/msi-thin-15-laptops-638295.html
Gaming Laptop,MSI Crosshair,Intel Core Ultra 9 275HX,P-core: 2.7 - 5.4 GHz/E-core: 2.1 - 4.6 GHz,NVIDIA GeForce RTX 5070Â (8 GB),16 GB RAM,1 TB NVMe PCIe Gen 4Ã4 SSD,Windows 11 Home,64 bit,Intel AI Boost up to 13 TOPS,AI Enabled,Wi-Fi/Bluetooth,HDMI 2.1/USB 3.2/Thunderbolt 4 (DisplayPort/PD 3.0)/RJ-45/Audio Combo Port,Cosmos Grey,38.32 cm ( 15.09 in ),27.99 cm ( 11.02 in ),2.97 cm ( 1.17 in ),2.80 kg ( 6.17 lb ),8999.0,7999.0,11%,08-3RD12Y2,"17""",2025,QHD+ 240 Hz Display,2560 X 1600 (QHD),"Nahimic Sound, 2 X 2W Speakers",24-Zone RGB Gaming Keyboard,,,https://www.jarir.com/sa-en/msi-crosshair-laptops-655716.html
Gaming Laptop,Acer Nitro,Intel Core i5-12450H (12th Gen),2.0 GHz,NVIDIA GeForce RTX 2050 (4 GB),8 GB RAM,512 GB SSD,Windows 11,64 bit,,,Wi-Fi/Bluetooth,HDMI 2.1/USB 2.0/USB 3.1/USB-C,Black,32.30 cm ( 12.72 in ),23.99 cm ( 9.44 in ),2.35 cm ( .93 in ),2.10 kg ( 4.63 lb ),2999.0,2449.0,18%,34-ASPY2,"15.6""",2024,FHD-LED 144 Hz,1920 X 1080 (FHD),Built-in Mic/Speakers,RGB Keyboard,720p HD Camera,VR Enabled,https://www.jarir.com/sa-en/acer-nitro-5-laptops-644114.html
Gaming Laptop,MSI Thin,Intel Core i7-13620H (13th Gen),2.4 GHz,NVIDIA GeForce RTX 3050 (4 GB),16 GB RAM,512 GB NVMe PCIe SSD Gen 4x4,Windows 11 Home,64 bit,,,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C (DisplayPort)/RJ-45,Cosmos Grey,35.90 cm ( 14.13 in ),25.40 cm ( 10.00 in ),2.17 cm ( .85 in ),1.86 kg ( 4.10 lb ),3999.0,2999.0,25%,08-3RD12Y2,"15.6""",2024,FHD IPS 144 Hz Display,1920 X 1080 (FHD),Built-in Dual Speakers (2 X 2W),Blue Backlit Gaming Keyboard,HD Webcam,,https://www.jarir.com/sa-en/msi-thin-15-laptops-645400.html
Gaming Laptop,Lenovo LOQ,Intel Core i7-13650HX (13th Gen),P-core: 2.6 - 4.9 GHz/E-core: 1.9 - 3.6 GHz,NVIDIA GeForce RTX 4050 (6 GB),24 GB RAM,512 GB NVMe M.2 SSD,Windows 11 Home,64 bit,,,Wi-Fi/Bluetooth,HDMI 2.1(8K@60Hz)/USB 3.2/USB-C (DisplayPort 1.4)/RJ-45/Audio Combo Port,Luna Grey,35.99 cm ( 14.17 in ),25.87 cm ( 10.19 in ),2.19 cm ( .86 in ),2.38 kg ( 5.25 lb ),4399.0,3599.0,18%,26-ASP12Y2,"15.6""",2024,FHD IPS 144 Hz Display,1920 X 1080 (FHD),2 X 2W Optimized with Nahimic Audio,,FHD 1080p with E-shutter,,https://www.jarir.com/sa-en/lenovo-loq-laptops-641552.html
