product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_coprocessor,ai_enabled,color,cpu_clock,cpu_model,gpu_model,os,ram,release_date,screen_refresh_rate_hz,screen_resolution,screen_size_inch,storage,touchscreen,webcam,weight_kg,product_url,audio_feature,special_features
Laptop,HP,Pavilion,641161,17%,4499,3699,Intel AI Boost,AI Enabled,Natural Silver,1.7 GHz,Intel Core Ultra 7,Intel Graphics,Windows 11 Home,16 GB RAM,2024,WUXGA IPS Anti-glare 300N Display,1920 X 1200,"16""",1 TB PCIe Gen4,,1080P FHD Camera,1.77 kg ( 3.90 lb ),https://www.jarir.com/sa-en/hp-pavilion-laptops-641161.html,,
Laptop,HP,Notebook,618634,31%,2199,1499,,,Natural Silver,P-core: 1.2 - 4.5 GHz/E-core: 0.9 - 3.3 GHz,Intel Core i3,Intel Iris Xe Graphics,Windows 11,8 GB RAM,2023,FHD IPS AG 250N,1920 X 1080 (FHD),"15.6""",256 GB PCIe NVMe M.2 SSD,,True Vision HD Webcam,1.50 kg ( 3.31 lb ),https://www.jarir.com/sa-en/hp-hp-laptops-618634.html,Built-in Dual Speakers/Mic,
Laptop,MSI,Modern 14 F1MG,655351,25%,2699,1999,,,Platinum Grey,P-core: 1.8 - 5.4 GHz/E-core: 1.2 - 4 GHz,Intel Core 7,Intel Graphics,Windows 11 Home,16 GB RAM,2025,FHD IPS AG 250N,1920 X 1080 (FHD),"14""",512 GB SSD,,720p HD Camera,1.50 kg ( 3.31 lb ),https://www.jarir.com/sa-en/msi-modern-laptops-655351.html,2 X 2W Speakers,Backlit Keyboard
Laptop,Asus,Vivobook Go,641085,25%,2699,1999,,,Green Grey,2.8 GHz,AMD Ryzen 5,AMD Radeon Graphics,Windows 11 Home,16 GB RAM,2023,FHD-OLED Display,1920 X 1080 (FHD),"15.6""",512 GB PCIe NVMe M.2 SSD,,720p HD Camera with Privacy Shutter,1.63 kg ( 3.59 lb ),https://www.jarir.com/sa-en/asus-laptops-641085.html,Built-in Mic/Speaker/SonicMaster,
Laptop,Microsoft,Surface,639141,14%,4699,3999,Qualcomm Hexagon NPU 45 TOPS,CoPilot+ PC,Platinum,3.4 GHz,Qualcomm Snapdragon,Qualcomm Adreno GPU,Windows 11 Home,16 GB RAM,2024,PixelSense Flow,2304 X 1536,"13.8""",256 GB SSD,Yes,HD (2 MP) Webcam,1.60 kg ( 3.53 lb ),https://www.jarir.com/sa-en/microsoft-laptops-639141.html,,
Laptop,MSI,Modern 14 F1MG,655361,25%,2699,1999,,,Urban Silver,P-core: 1.8 - 5.4 GHz/E-core: 1.2 - 4 GHz,Intel Core 7,Intel Graphics,Windows 11 Home,16 GB RAM,2025,FHD IPS AG 250N,1920 X 1080 (FHD),"14""",512 GB SSD,,720p HD Camera,1.50 kg ( 3.31 lb ),https://www.jarir.com/sa-en/msi-modern-laptops-655361.html,2 X 2W Speakers,Backlit Keyboard
Laptop,Apple,MacBook Air,646471,11%,6199,5499,16-core Neural Engine,Apple Intelligence,Silver,,M3,10-core GPU,macOS Sequoia,24 GB RAM,2024,Liquid Retina Display,2560 X 1664,"13.6""",512 GB SSD,,1080p FaceTime HD Camera,1.24 kg ( 2.73 lb ),https://www.jarir.com/sa-en/apple-macbook-air-13-m3-laptops-646471.html,Built-in Mic/Speakers,
Laptop,Apple,MacBook Air,646472,11%,6199,5499,16-core Neural Engine,Apple Intelligence,Starlight,,M3,10-core GPU,macOS Sequoia,24 GB RAM,2024,Liquid Retina Display,2560 X 1664,"13.6""",512 GB SSD,,1080p FaceTime HD Camera,1.24 kg ( 2.73 lb ),https://www.jarir.com/sa-en/apple-macbook-air-13-m3-laptops-646472.html,Built-in Mic/Speakers,
Laptop,Apple,MacBook Air,646473,11%,6199,5499,16-core Neural Engine,Apple Intelligence,Midnight,,M3,10-core GPU,macOS Sequoia,24 GB RAM,2024,Liquid Retina Display,2560 X 1664,"13.6""",512 GB SSD,,1080p FaceTime HD Camera,1.24 kg ( 2.73 lb ),https://www.jarir.com/sa-en/apple-macbook-air-13-m3-laptops-646473.html,Built-in Mic/Speakers,
Laptop,Apple,MacBook Air,646470,11%,6199,5499,16-core Neural Engine,Apple Intelligence,Space Grey,,M3,10-core GPU,macOS Sequoia,24 GB RAM,2024,Liquid Retina Display,2560 X 1664,"13.6""",512 GB SSD,,1080p FaceTime HD Camera,1.24 kg ( 2.73 lb ),https://www.jarir.com/sa-en/apple-macbook-air-13-m3-laptops-646470.html,Built-in Mic/Speakers,
